model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
MLP,1,0.8146686686992646,0.7122,0.5363537564277648,0.797
MLP,2,0.5081840332508087,0.8089,0.451163711309433,0.8295
MLP,3,0.4626541072845459,0.8289,0.4401280093193054,0.8315
MLP,4,0.4219590664386749,0.8425,0.39106092643737794,0.8475
MLP,5,0.39257583351135256,0.854,0.39989829659461973,0.8535
SmallCNN,1,0.9628403826236724,0.6532,0.5902116885185241,0.7525
SmallCNN,2,0.5628901411294938,0.7902,0.4654116005897522,0.821
SmallCNN,3,0.4961982159614563,0.8167,0.4317986512184143,0.8405
SmallCNN,4,0.4373164878845215,0.8346,0.3782619366645813,0.8545
SmallCNN,5,0.4074404170513153,0.8517,0.3754150495529175,0.8605
SmallCNN_Aug,1,1.1565310506820679,0.5696,0.6338383059501648,0.7505
SmallCNN_Aug,2,0.7671027388572693,0.7055,0.5754854831695556,0.778
SmallCNN_Aug,3,0.7014033396720887,0.7326,0.5267056488990783,0.7965
SmallCNN_Aug,4,0.658090628528595,0.749,0.4974492437839508,0.803
SmallCNN_Aug,5,0.6341466486930847,0.752,0.5037143476009369,0.7855
